unit,total_voters_rk2023,total_voters_census,voters_rk2023,voters_adj,turnout
Haabersti linnaosa,29987,28443,20263,21318,0.749
Kristiine linnaosa,22078,21439,16696,17565,0.819
Põhja-Tallinna linnaosa,34242,34362,21983,23127,0.673
Kesklinna linnaosa,37726,37618,27629,28909,0.768
Lasnamäe linnaosa,60304,58147,34759,36369,0.625
Pirita linnaosa,12810,11616,9544,9986,0.860
Mustamäe linnaosa,42104,41422,27821,29397,0.710
Nõmme linnaosa,26981,25022,20739,21913,0.876
Harju maakond,116618,114580,84967,87817,0.766
Rapla maakond,25536,25444,17665,18258,0.718
Hiiu maakond,8241,7006,5852,6076,0.867
Lääne maakond,15250,15014,10383,10780,0.718
Saare maakond,27051,24795,18457,19162,0.773
Lääne-Viru maakond,42511,43043,27668,28449,0.661
Ida-Viru maakond,55650,56963,29218,29807,0.523
Järva maakond,23012,23093,15015,15550,0.673
Viljandi maakond,35513,35547,23169,23994,0.675
Tartu maakond,45918,45757,30811,32484,0.710
Jõgeva maakond,21866,22028,13962,14720,0.668
Tartu linn,66768,66775,47766,49263,0.738
Võru maakond,27517,26924,18291,18939,0.703
Põlva maakond,19359,19083,12747,13199,0.692
Valga maakond,19549,19460,12175,12607,0.648
Pärnu maakond,64620,64027,42729,44113,0.689